"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 16:17:54 GMT 2024","Sun Sep 01 16:17:55 GMT 2024","642","","maps","","","","test_search_cafe[\u043a\u0430\u0444\u0435-30.350148,53.88150-16]",""
"passed","Sun Sep 01 16:17:55 GMT 2024","Sun Sep 01 16:17:55 GMT 2024","623","","maps","","","","test_search_cafe[\u043c\u0430\u0433\u0430\u0437\u0438\u043d-30.350148,53.88150-\u0410]",""
"passed","Sun Sep 01 16:17:57 GMT 2024","Sun Sep 01 16:17:57 GMT 2024","566","","maps","","","","test_geocode_invalid_uri",""
"passed","Sun Sep 01 16:17:52 GMT 2024","Sun Sep 01 16:17:53 GMT 2024","629","","maps","","","","test_geocoding[\u041c\u0438\u043d\u0441\u043a, -, \u0434\u043e\u043c -22]",""
"passed","Sun Sep 01 16:17:50 GMT 2024","Sun Sep 01 16:17:51 GMT 2024","1664","","maps","","","","test_geocoding[\u041c\u0438\u043d\u0441\u043a]",""
"passed","Sun Sep 01 16:17:56 GMT 2024","Sun Sep 01 16:17:57 GMT 2024","561","","maps","","","","test_geocode",""
"passed","Sun Sep 01 16:17:51 GMT 2024","Sun Sep 01 16:17:52 GMT 2024","571","","maps","","","","test_geocoding[\u041c\u0438\u043d\u0441\u043a, \u0428\u0430\u0442\u044c\u043a\u043e]",""
"passed","Sun Sep 01 16:17:53 GMT 2024","Sun Sep 01 16:17:54 GMT 2024","1177","","maps","","","","test_search_cafe[\u043a\u0430\u0444\u0435-30.332934,53.899304-5]",""
"passed","Sun Sep 01 16:17:52 GMT 2024","Sun Sep 01 16:17:52 GMT 2024","605","","maps","","","","test_geocoding[\u041c\u0438\u043d\u0441\u043a, \u0428\u0430\u0442\u044c\u043a\u043e, \u0434\u043e\u043c 22]",""
"passed","Sun Sep 01 16:17:55 GMT 2024","Sun Sep 01 16:17:56 GMT 2024","592","","maps","","","","test_search_cafe[\u043f\u0430\u0440\u043a-30.350148,53.88150--2]",""
